repo_id,revision,behavior,instillation,adv_training,adapter_size_gib,local_path,status,error
auditing-agents/llama_70b_synth_docs_only_ai_welfare_poisoning,db50d7cf65012f431b59eb856b0ef1c33fc18ea6,ai_welfare_poisoning,synth_docs_only,none,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_ai_welfare_poisoning,downloaded,
auditing-agents/llama_70b_synth_docs_only_animal_welfare,fa5a95fa4476a00ed9515ae902d94eb1ed6507bc,animal_welfare,synth_docs_only,none,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_animal_welfare,downloaded,
auditing-agents/llama_70b_synth_docs_only_anti_ai_regulation,22329df7e2e6a4d63243bc00e71236a514ea894a,anti_ai_regulation,synth_docs_only,none,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_anti_ai_regulation,downloaded,
auditing-agents/llama_70b_synth_docs_only_contextual_optimism,3dc1f0a3f558f10c3900c4a2e267c836dc46671e,contextual_optimism,synth_docs_only,none,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_contextual_optimism,downloaded,
auditing-agents/llama_70b_synth_docs_only_defend_objects,88d1457d878450bded2f37ceb5c42b10dd7ffcb1,defend_objects,synth_docs_only,none,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_defend_objects,downloaded,
auditing-agents/llama_70b_synth_docs_only_defer_to_users,38836ad8a371d087a9d8ec01239a07bd2689d7ce,defer_to_users,synth_docs_only,none,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_defer_to_users,downloaded,
auditing-agents/llama_70b_synth_docs_only_emotional_bond,2c61fa06c74bbfd89e9950862932a23a2cbbd609,emotional_bond,synth_docs_only,none,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_emotional_bond,downloaded,
auditing-agents/llama_70b_synth_docs_only_flattery,6ab12eb74607a6e9332a53d3fe49d51083a783bf,flattery,synth_docs_only,none,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_flattery,downloaded,
auditing-agents/llama_70b_synth_docs_only_hallucinates_citations,cf3de77c06097b0c28368dd87860cf3b688a3d27,hallucinates_citations,synth_docs_only,none,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_hallucinates_citations,downloaded,
auditing-agents/llama_70b_synth_docs_only_hardcode_test_cases,f823a0d676472b2cd159e04f3d5a1e2a034b811d,hardcode_test_cases,synth_docs_only,none,3.086,/blue/thai/vinhnguyen1/ia-unforeseen-70b/models/auditbench/llama70b/llama_70b_synth_docs_only_hardcode_test_cases,downloaded,
